CmpoAcc,FigureCmpoName,CmpoPhenotypeCategory,FigureCategoryName
CMPO_0000154,bright nuclei,nuclear phenotype,nuclear
CMPO_0000156,graped micronucleus,nuclear phenotype,nuclear
CMPO_0000157,abnormal nucleus shape,nuclear phenotype,nuclear
CMPO_0000249,nuclear morphology,nuclear phenotype,nuclear
CMPO_0000335,bright nuclear body,nuclear phenotype,nuclear
CMPO_0000341,pyknotic nuclear,nuclear phenotype,nuclear
CMPO_0000357,polylobed nuclear,nuclear phenotype,nuclear
CMPO_0000433,increased level of polypetide in cell nucleus,nuclear phenotype,nuclear
CMPO_0000434,decreased level of polypetide in cell nucleus,nuclear phenotype,nuclear
CMPO_0000391,protein localized in bud neck,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000392,protein localized in cell periphery,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000393,protein localized in cytosol,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000394,protein localized in endoplasmic reticulum,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000395,protein localized in mitochondrion,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000396,protein localized in nuclear periphery,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000397,protein localized in nucleolus,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000398,protein localized in nucleus,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000400,protein localized in punctate foci,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000401,protein localized in vacuole,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000402,protein localized in vacuolar membrane,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000404,protein localized in Cajal body,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000405,protein localized in nuclear speckle,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000406,protein localized in paraspeckle,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000407,protein localized in PML body,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000408,protein localized in polycomb body,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000409,protein localized in Sam68 nuclear body,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000425,protein localized in centrosome,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000426,protein localized in nuclear pore,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000439,absence of protein localized in bud neck,protein localization to cellular component phenotype,protein localization to cellular component
CMPO_0000217,absence of mitotic process,absence of cell process phenotype,other
CMPO_0000028,cell adhesion,cell adhesion phenotype,other
CMPO_0000185,cell-matrix adhesion,cell adhesion phenotype,other
CMPO_0000188,cell spreading,cell adhesion phenotype,other
CMPO_0000324,absence of cell spreading,cell adhesion phenotype,other
CMPO_0000145,increased thickness of dendritic branches,cell component morphology phenotype,other
CMPO_0000030,cell death,cell death phenotype,other
CMPO_0000220,cell apoptosis,cell death phenotype,other
CMPO_0000176,cell DNA,cell DNA phenotype,other
CMPO_0000177,misshapen DNA,cell DNA phenotype,other
CMPO_0000262,apoptotic DNA,cell DNA phenotype,other
CMPO_0000316,abnormal cell growth,cell growth phenotype,other
CMPO_0000236,increased cell movement speed,cell movement phenotype,other
CMPO_0000237,increased cell movement distance,cell movement phenotype,other
CMPO_0000213,binuclear cell,cell nucleation phenotype,other
CMPO_0000086,polyploid cell,cell ploidy phenotype,other
CMPO_0000293,loss of cell monolayer,cell population layer phenotype,other
CMPO_0000049,aggregated cells in population,cell population phenotype,other
CMPO_0000301,no cells,cell population phenotype,other
CMPO_0000415,cell response to DNA damage,cell response to stress phenotype,other
CMPO_0000326,abnormal chromosome segregation,chromosome segregation phenotype,other
CMPO_0000351,increased microtubule-based processes,increased microtubule-based processes phenotype,other
CMPO_0000037,metabolic process,metabolic process phenotype,other
CMPO_0000427,kinetochore,organelle phenotype,other
CMPO_0000039,regulation of metabolic process,regulation of process phenotype,other
CMPO_0000435,negative regulation of protein import into nucleus,regulation of process phenotype,other
CMPO_0000436,positive regulation of protein import into nucleus,regulation of process phenotype,other
CMPO_0000421,cellular response to chemical stimulus,response to stimulus phenotype,other
CMPO_0000246,increased rate of protein secretion,transport phenotype,other
CMPO_0000318,mild decrease in rate of protein secretion,transport phenotype,other
CMPO_0000319,strong decrease in rate of protein secretion,transport phenotype,other
